"pdb","vvolume","variable","value"
"1A65_A","vvolumeCA","r4s_JC",0.556756283660841
"1A65_A","vvolumeCA","rsa",0.817076651378465
"1A65_A","vvolumeCA","seqent",0.425911573882445
"1A65_A","vvolumeCB","ddgent",0.727766451737477
"1A65_A","vvolumeCB","hbe",0.382286712511163
"1A65_A","vvolumeCB","hpshh",0.1449800472614
"1A65_A","vvolumeCB","r4s_JC",0.582137899253729
"1A65_A","vvolumeCB","rsa",0.844483451065771
"1A65_A","vvolumeCB","seqent",0.460043944547997
"1A65_A","vvolumeN","ddgent",0.64294384564841
"1A65_A","vvolumeN","hbe",0.492991896118014
"1A65_A","vvolumeN","hpshh",0.184966659886742
"1A65_A","vvolumeN","r4s_JC",0.540064043570489
"1A65_A","vvolumeN","rsa",0.800498005123319
"1A65_A","vvolumeN","seqent",0.438259048294547
"1A65_A","vvolumeO","ddgent",0.46641265092144
"1A65_A","vvolumeO","hbe",0.5236504722856
"1A65_A","vvolumeO","hpshh",0.120369479312372
"1A65_A","vvolumeO","r4s_JC",0.400551178393799
"1A65_A","vvolumeO","rsa",0.681505307833231
"1A65_A","vvolumeO","seqent",0.328811019393345
"1A65_A","vvolumeSC","ddgent",0.749987674143728
"1A65_A","vvolumeSC","hbe",0.308455036701898
"1A65_A","vvolumeSC","hpshh",0.169880901195591
"1A65_A","vvolumeSC","r4s_JC",0.607093618008522
"1A65_A","vvolumeSC","rsa",0.866771813026473
"1A65_A","vvolumeSC","seqent",0.480145764744647
"1A8H_A","vvolumeAA","ddgent",0.747879555416441
"1A8H_A","vvolumeAA","hbe",0.414943988986402
"1A8H_A","vvolumeAA","hpshh",0.525211942883106
"1A8H_A","vvolumeAA","r4s_JC",0.327442065857264
"1A8H_A","vvolumeAA","rsa",0.913420786906771
"1A8H_A","vvolumeAA","seqent",0.2857702696586
"1A8H_A","vvolumeC","ddgent",0.646527258109032
"1A8H_A","vvolumeC","hbe",0.540234712062254
"1A8H_A","vvolumeC","hpshh",0.455916639081373
"1A8H_A","vvolumeC","r4s_JC",0.29349853687903
"1A8H_A","vvolumeC","rsa",0.807189592578002
"1A8H_A","vvolumeC","seqent",0.261832924139058
"1A8H_A","vvolumeCA","ddgent",0.690941756349628
"1A8H_A","vvolumeCA","hbe",0.461788742721779
"1A8H_A","vvolumeCA","hpshh",0.454575451982368
"1A8H_A","vvolumeCA","r4s_JC",0.29335672474003
"1A8H_A","vvolumeCA","rsa",0.829504736991559
"1A8H_A","vvolumeCA","seqent",0.253931658681221
"1A8H_A","vvolumeCB","ddgent",0.747608882320757
"1A8H_A","vvolumeCB","hbe",0.437085510116259
