variable,bfSC,ddgent,rsa,varea,vcompactness,vvolume,wcnSC
r.hbe.seqent,0.210423787,0.265322835,0.289555182,0.194050686,-0.243825911,0.175520532,-0.118865345
median.vsphericitym,-0.055498449,-0.04879857,-0.006995636,-0.056414638,0.153771229,-0.068397392,0.034627215
mean.TSS,0.13703175,0.180213682,0.130026237,0.076624893,-0.072419876,0.065433423,-0.045684041
sum.HSS,-0.031409366,-0.05035305,0.038752985,0.023784438,0.03332595,0.020275959,-0.053860872
r.hbe.vsphericitym,0.01574741,0.049163994,0.135778695,0.147695725,-0.122689153,0.149580682,-0.161389926
median.vsphericity,-0.067603449,-0.050734792,-0.001338136,-0.051912561,0.144293864,-0.064979757,0.030144855
mean.vsphericity,-0.059146117,-0.052489616,0.004055155,-0.02883038,0.139931122,-0.040451654,0.015449025
nseq,0.217749536,0.118053634,0.155428724,0.192076879,-0.164190275,0.198396668,-0.257957815
sum.helix,-0.016706157,-0.030935112,0.052838857,0.030534843,0.030985064,0.02540561,-0.0527567
mean.HSS,-0.017501641,-0.01885424,0.055087217,0.09705527,-0.119155618,0.101228743,-0.146709742
sum.nhbpa.dif,0.057894054,0.171189034,0.183668473,0.2126763,-0.206991339,0.222397064,-0.243540991
mean.nhbpa.dif,0.043476761,0.135052029,0.155612626,0.177360208,-0.159312916,0.185638867,-0.209460714
r.r4sJC.seqent,0.301129134,0.385699826,0.41002813,0.527397602,-0.485546033,0.538635049,-0.531556601
sd.r4sJC,0.230405121,0.23709317,0.265345181,0.432772491,-0.386856564,0.446032914,-0.439068826
mean.helix,0.012211485,0.022055598,0.078835059,0.117240112,-0.137573746,0.120009057,-0.158255716
median.vsphericitycc,0.007558231,-0.005250013,0.013569325,0.007705452,0.060251591,0.006011094,-0.054320679
r.vnfaces.vsphericitym,-0.003643725,0.089907461,0.051564225,0.034615385,0.002845838,0.033206267,-0.066483516
r.vnfaces.wcnSC,0.040634366,0.155072559,0.125144592,0.115484515,-0.093706294,0.124132447,-0.139501288
r.hbe.wcnSC,0.050970083,0.063579841,0.148140018,0.155719281,-0.096838688,0.155144855,-0.184440559
sd.seqent,0.271801882,0.297051633,0.398406856,0.488866397,-0.438428677,0.498104527,-0.500265524
mean.vsphericitycc,-0.044805195,-0.02409827,0.022502498,0.027713076,0.047453862,0.017557443,-0.063905831
