variable,mean,median,sd,min,q1,q3,max
r.bfN.sizeSC,-0.008895268,-0.002610008,0.091420841,-0.262046886,-0.070450127,0.048063529,0.272683695
r.bfN.VAAarea,0.477821983,0.48877986,0.101458423,0.108315074,0.419745898,0.542995996,0.745547789
r.bfN.VAAeccentricity,0.440360916,0.452715258,0.09774583,0.116811926,0.385624271,0.503394589,0.658733406
r.bfN.VAAedge_length_total,0.43057,0.435281857,0.093535928,0.087829282,0.374834891,0.493680577,0.664980775
r.bfN.VAAfree_volume,0.46121153,0.474838869,0.096664892,0.109153214,0.398697509,0.52683463,0.731445103
r.bfN.VAAmodified_volume,0.460615007,0.470159565,0.099715618,0.092641746,0.403668403,0.525902174,0.725053741
r.bfN.VAAnfaces,-0.108205278,-0.104876066,0.059887289,-0.290352265,-0.144095555,-0.07126441,0.063211369
r.bfN.VAAvolume,0.460366959,0.471621096,0.099032953,0.096876648,0.401971831,0.527878328,0.725923983
r.bfN.VCAarea,0.488959323,0.502611303,0.103041989,0.123403913,0.43515679,0.556246609,0.734349498
r.bfN.VCAeccentricity,0.437249217,0.451084047,0.096554044,0.104761635,0.379237286,0.499773948,0.658090158
r.bfN.VCAedge_length_total,0.447115361,0.456650292,0.095581736,0.116860083,0.391647479,0.512539294,0.665880058
r.bfN.VCAfree_volume,0.467095799,0.477102983,0.097548532,0.127592637,0.413741885,0.536650682,0.695240695
r.bfN.VCAmodified_volume,0.473765725,0.48725152,0.101654563,0.105034418,0.419148272,0.538578303,0.718428444
r.bfN.VCAnfaces,-0.131548829,-0.128724719,0.060974163,-0.304721884,-0.171588623,-0.088716957,0.040062625
r.bfN.VCAvolume,0.473936471,0.486254018,0.101201658,0.112935897,0.414087422,0.542898494,0.720501417
r.bfN.VSCarea,0.471984763,0.485254197,0.101741762,0.1080855,0.411151832,0.541633586,0.743322967
r.bfN.VSCeccentricity,0.443871739,0.456759738,0.095348447,0.098366896,0.389836503,0.507723202,0.679530706
r.bfN.VSCedge_length_total,0.415252274,0.421829238,0.091914194,0.073188704,0.363096175,0.477340051,0.652450674
r.bfN.VSCfree_volume,0.453112739,0.466591616,0.094823428,0.111812109,0.400672051,0.516529203,0.712451137
