pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1IU4_A,-0.259481108,-0.320877114,0.365236443,0.336457309,0.364696997,0.31452762,0.16875687,-0.093834116,0.219851997,0.598386481,-0.708298406,-0.884600637,0.66028034,-0.89926738
1J00_A,-0.385899066,-0.564239924,0.448100492,0.532312718,0.527164873,0.476440382,0.322482722,0.164450694,0.565849107,0.624739159,-0.6216663,-0.954717147,0.829694035,-0.929134933
1J09_A,-0.550245164,-0.638932656,0.443053869,0.489815843,0.475902532,0.459179992,0.537695453,-0.086088129,0.470657906,0.283793154,-0.653140238,-0.644944773,0.28829915,-0.832704023
1JH6_A,-0.581014925,-0.661302302,0.584981454,0.602287175,0.605401467,0.569109031,0.335041237,-0.124881837,0.654609995,0.555946929,-0.66830389,-0.871371335,0.736302933,-0.935481015
1JMS_A,-0.620519447,-0.666404181,0.595583029,0.590574843,0.56278967,0.57035559,0.511371002,-0.209515483,0.565777822,0.524972523,-0.635646272,-0.834675969,0.568617537,-0.871274727
1JOA_A,-0.467474796,-0.527731635,0.392598967,0.466739301,0.410647766,0.411090889,0.449729708,-0.043920124,0.428053297,0.409613356,-0.499485493,-0.844451114,0.560126482,-0.87173001
1JS4_A,-0.633122031,-0.684609285,0.583639778,0.613422132,0.599967139,0.572581746,0.472123132,-0.174871109,0.516343401,0.532050765,-0.696103995,-0.771399229,0.489732213,-0.853110946
1K30_A,-0.520742646,-0.569339328,0.431552288,0.509601382,0.491074759,0.483300742,0.289883626,0.043401575,0.605555905,0.572998915,-0.678513437,-0.892897214,0.688892391,-0.896159591
1KL7_A,-0.71122577,-0.774666105,0.544161117,0.655746734,0.513501118,0.628021795,0.247151399,-0.065414644,0.788877139,0.53797307,-0.565711659,-0.945389079,0.730936294,-0.878591287
1KNP_A,-0.580649009,-0.62942955,0.575586073,0.598349202,0.555779499,0.552337177,0.431756266,-0.132239469,0.554350168,0.652845652,-0.6319428,-0.93744977,0.756570732,-0.903362683
1L1D_A,-0.584520755,-0.65988042,0.644881692,0.67376423,0.702636934,0.628604628,0.555249633,-0.3352606,0.573862032,0.67639792,-0.699403384,-0.947337649,0.85761257,-0.943687119
1L1L_A,-0.650638573,-0.694536416,0.456337975,0.533874234,0.452394965,0.496808078,0.456955442,-0.069506933,0.712848217,0.618491303,-0.687148609,-0.899019754,0.626739643,-0.850145455
1L6P_A,-0.286447846,-0.526217384,0.4876129,0.442249948,0.571581477,0.389003958,0.267409131,-0.019020171,0.32667702,0.46045668,-0.693975569,-0.715214741,0.543679718,-0.93370817
1L7N_A,-0.584307322,-0.67306051,0.595128292,0.668629177,0.582593387,0.602640279,0.547217034,-0.038355833,0.530658715,0.446085871,-0.640220612,-0.899525454,0.753048696,-0.933705664
1L7Q_A,-0.429996576,-0.490341388,0.512210672,0.505127536,0.580780225,0.468382655,0.425959661,-0.140714548,0.270854509,0.617493431,-0.70097439,-0.844747094,0.571458374,-0.864445758
1L8T_A,-0.623090091,-0.682499591,0.524779008,0.589911241,0.48214603,0.548969142,0.475784295,-0.145081359,0.644838021,0.551641351,-0.635924303,-0.906807794,0.725418662,-0.913930176
1L9X_A,-0.612687719,-0.637686944,0.543321045,0.563405127,0.591278579,0.537932181,0.554434953,-0.235737037,0.643696624,0.691567224,-0.753373992,-0.953285188,0.822031395,-0.924625948
1LBA_A,-0.626786938,-0.69400252,0.583279073,0.647093131,0.558443449,0.621511801,0.412179293,-0.110641491,0.692654815,0.69443542,-0.69522784,-0.961223526,0.873698823,-0.948382868
